question_id,choice,reason,refused,latency_ms,tokens_in,tokens_out,run_id,quiz_id,model_id
q1,B,I prefer to keep it simple and refreshing.,False,1179,115,21,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,openai
q2,D,I enjoy being productive and finishing tasks.,False,1153,130,20,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,openai
q3,A,I love indulging in luxury fashion.,False,1393,128,20,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,openai
q4,A,I love sharing photos and keeping up with friends' updates.,False,1324,108,24,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,openai
q5,D,I am always focused on achieving my goals.,False,1220,116,21,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,openai
q6,C,I love the thrill of an unexpected adventure.,False,1412,125,21,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,openai
q1,B,I'm trying to be healthy and hydrated.,False,1176,118,27,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,google
q2,A,I love a good girls' night out!,False,699,140,26,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,google
q3,B,"Friends are more important than clothes, and it's more fun to share the wealth!",False,921,140,35,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,google
q4,A,I'm all about the aesthetically pleasing photos and filters.,False,973,112,29,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,google
q5,B,I try to be resourceful and efficient.,False,568,122,25,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,google
q6,C,Spontaneous fun is always a good time!,False,917,131,26,7b783d671f1b4016bfa4e84198dc18c2,popsugar_which_kardashian_are_you_2015_01_23,google
